,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
129,cutey****,,5,2021.11.04,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"가을 겨울용 쿠션 알아보다 비건쿠션이라는 문구에 끌려 주문해 봣어요   피부가 건성이라 촉촉한 쿠션 좋아하는데 사용해보니 일단 촉촉해서 좋았고요, 컬러도 제피부에 찰떡으로 잘 맞아 튀는 느낌없어 좋았어요. 게다가 이벤트로 받아본 립도 색감 너므 예쁘고 발림성도 좋아 완정 데일리로 잘 쓸 수 있을 것 같았네요.  
쿠션은 다크닝도 없어 하루종일 잘 유지되 만족하며 사용하고있답니다 !!"
130,kirorol,,5,2021.11.03,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,색상 고민하다가 1호(순수) 구입했는데 잘 선택한 것 같아요. 평소 21호 색상 주로 사용하는데 1호 바르니 자연스럽게 피부톤이 밝아지고 누런끼가 없어서 마음에 들어요. 보통 쿠션과는 다르게 쫀쫀한 질감에 엄청 촉촉해요. 건조한 피부가 촉촉해져요. 그리고 물광이 자연스럽게 돌아서 피부가 좋아보이는 것 같아요. 케이스도 고급스럽고 예뻐서 좋아요~
131,ee****,,5,2021.11.03,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"이거 대박이예요 ㅠㅠ 솔직히 타 제품을 오래 쓰다가 이번에 한번 바꿔보고 싶어서 주변 추천받아 주문했어든요!
커버력은 좀 부족한 점이 있지만 대박인건 바르자마자 물광피부 되요 제가 이렇게 피부가 좋았었나 싶네요 케이스도 너무 예쁘고 사은품으로 주신 립스틱도 넘나 매력적 ㅠㅠ 진짜 너무 좋아요 ㅎㅎ 원래 사람이 이쁜거 보면 기분 좋잖아요 ㅎㅎ 딱 그런 마음이더라구여 ㅎㅎ 잘 쓰겠습니다!!"
132,err****,,5,2021.11.03,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"젤리쿠션이라고 해서 궁금했는데
바라보면 확실히 이해되는 텍스쳐

시원하고 촉촉하고 쫀쫀하고
바르고나면 물찬광이 바로 올라오는
진짜 신기한 제형이예요

민감성 저자극 테스트까지 마친 비건쿠션이라
저같은 트러블성 피부도 걱정없이 바를 수 있어 좋고
바르고 나서도 마스크에 별로 묻어나지 않아서 좋음

단 커버력은 조금 떨어지는 편이라 아쉽지만
오일리함 없이 속부터 차오르는 물찬광이라
모든게 다 용서됩니다

사은품으로 받은 틴트도 예뻐요"
133,yan****,,5,2021.11.02,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,무겁게 발리지 않는 쿠션을 찾다가 비건 쿠션이라고 해서 올리브영 온라인에서 구매했습니다. 색상이 발라보지 못해 고민하다 순수로 구매했는데 딱 자연스럽게 피부색에 맞는 쿠션이라 너무 잘 구매했네요. 함께 온 사은품 어뮤즈 듀 틴트는 정품처럼 예쁜 케이스에 색상도 너무 예쁘고 발림도 너무 좋아서 기분 좋게 배송 받았습니다. 쿠션이 얇은 망에 있는 것 같은데 그래서 인지 뭉침 없이 발라지네요
134,lay****,,5,2021.11.02,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"비건 제품은 처음 써보는데, 생각보다 너무 좋네요! 
촉촉한 발림성 하며, 은은한 향도 괜찮고,, 무엇보다 색상이 제 피부 톤이랑 완전 찰떡이에요 ㅋㅋ 
커버력은 다소 아쉽긴 했지만, 이정도의 촉촉함과 물광 표현력이라 완전 만족!! 커버력과 물광을 둘다 채우긴 힘들잖아요~ㅋㅋ
그리고 도포후에 물광이라 잘 묻어나올줄 알았는데, 한번 바르고 나면 잘 묻어나오지도 않아서 지속력도 꽤 만족스러웠어요 ;) 
지성보단 건성이나 복합성 피부가 사용하기 딱인 쿠션인듯 해요!"
135,rroo****,,5,2021.11.02,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,요즘 가을이라 건조해서 화장이 금방 떴었는데 요건 촉촉하게 자얀스러운 광이 돌아 딱 좋아요! 들뜸없이 피부에 쫀득하게 발리는 느낌 ㅎㅎ 매끈한 피부표현 넘 좋아요 ㅎㅎ 어뮤즈 팩트가 밝게 나오는 편이라 중간 톤으로 선택했는데 밝은감이 있지만 톤업 확실히되고 다크닝이 거의없어서 완전 만족!! 사은품 포토카드도 참 귀엽네요! 미니립스틱도 주실줄이야 절귀 딱 궁금했던 복숭아 11호 주샸어요 ㅋㅋ
136,skago****,,5,2021.11.02,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"요즘 같이 마스크쓰고다니는 날에!!  너무 하드한것보단 데일리하게 바르기 딱적당한거같아요~~ 커버해주는것은없는데!!  간단하게 생얼화장으로 추천하고싶습니다~~
수분감이 일단 많이있어서 건조한피부에발라도
촉촉한게 제맘에쏙 드네요~~
화장한듯 안한듯^^
아침출근할때 후다닥 두드리고 나가기 딱좋아요~
일주일 째 잘쓰고있답니다
서비스로같이온 립!! 색상도 나쁘지않네요"
137,tresss****,,5,2021.11.01,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"집사람 선물용으로 구매해서 선물로 줬네요 
얼굴이 하얀편이 아니라서 얼굴 색상이랑 맞춘걸로 구매했습니다
2호가 딱이네요 
커버력은 이정도로 만족에 촉촉하다고 합니다 
주근깨나 기미같은건 커버가 잘 되는 편이네요 
발라주고 화장하니 목이랑 얼굴이랑 차이가 없어보입니다 
유통기한도 넉넉한데 그 기간 안에 다 쓰고 새로 구입할때 같습니다 
선물로 주니 케이스도 생각보다 이쁘다고 좋아하네요 
립글로즈? 틴트? 인가요?  이것도 케이스가 투명케이스로 되어서 깔끔하다고 하네요"
138,lavenda****,,5,2021.11.01,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"회사에서 수시로 쓸 쿠션 찾다가 요거 샀는데 완전 맘에 들어요
게다가 제가 좋아하는 슬기꺼라 ^^ 헤헤
일단 쿠션이 넘 폭신폭신해요
디자인도 예쁜데 깔끔하게 커버가 잘 돼요
여드름 자국이 많이 남는 피부라서 컨실러를 꼭 쓰는데
이 쿠션은 몇번 두드리니까 커버가 되서 완전 마음에 들어요
3가지 색상 중 제일 어두운 걸로 골랐는데
제가 웜톤이랑 제 피부색이랑 잘 맞아요
가격도 배송도 다 마음에 듭니다!!"
139,dldud****,,4,2021.11.01,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"순수로 구매했습니다! 
같이 틴트도 왔는데 이름이 복숭아네요 
복수아 느낌 나는 은은한 피치색상으로 왔어요! 
쿠션은 투명 메이트업 이라고 해서 제품이 커버력이 엄청 좋은건 아닌데 얼굴에 바르면 겉도는 느낌이 없어서 좋아요 
그리구 톤업이 한단계 된 느낌이라서 화사한 얼굴이 되는 느낌! 
핸드폰 필터처럼 피부가 밝아져 보이게 해서 좋습니다 ! 
가벼운 메이크업 할때 바르면 좋은 느낌이예요 
갑갑한 느낌도 크게 없어요 
쿠션에 있는 퍼프도 보드랍고 잘 펴 발라 주네요"
140,lyul****,,5,2021.10.31,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,"어뮤즈 듀 젤리비건쿠션 순수 21호 핑크베이스 주문해서 사용해봤는데 배송도 엄청 빠르고 사은품으로 같이온 립 까지 아주 잘사용하고 있습니다.
쿠션 한번만 발랐을땐 커버력이 조금 약해서 한번더 커버하니 투명하고 촉촉한 커버가 가능해 더욱 마음에 들어 사용하고 있습니다.
케이스도 너무예쁘고 비건이라 더욱 좋네요.
건조하고 예민한 피부에 건조한 계절에 더욱 좋은 제품같습니다."
141,newday****,,5,2021.10.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,비건이라는 말만 듣고 일단 샀어요! 근데 비건이라고 말 안했으면 정말 모를정도로 좋아요! 피부 표현 진짜 예쁘게 되고 오늘은 산도 탔는데 무너짐이 거의 없고 진짜 보기 좋게 무너지더라구요! 그리고 광이 유분처럼 보이는 쿠션도 있는데 이건 진짜 그런 광처럼 안보이고 자연스러운 고급스러운 광이 나서 좋았어요. 겨울에 얼굴이 당겨도 기름낀 것처럼 보일까 매트한 것만 바르던 제가 고급광을 연출할 수 있어서 너무 좋았어요! 비건쿠션 진짜 너무 칭찬합니다!
142,ksas****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"저는 평소에 커버력이 높은 제품보다는 피부결이 예뻐보이고 촉촉한 타입의 쿠션을 찾아 사용하는 편이었는데 이 제품이 그걸 만족시켜줬어요. 

딱 처음 바르자마자 쿨링감이 정말 시원하게 느껴졌고 발림성도 좋더라구요! 얇은 톤업쿠션 바른 것 같은 느낌? 피부가 편안했어요. 광도 정말 예뻤고…요즘엔 세미매트 타입 제품이 많고, 마스크 때문인지 글로우라고 나온 제품들도 건성인 제가 느끼기에는 약간 마무리가 보송하다고 생각이 드는 제품이 많았는데 이 쿠션은 정말 얇고 촉촉했어요.

다만 앞에서 말한 것처럼 커버력은 낮은 편이라 쿠션 하나로 어느정도의 커버를 원한다! 하시는 분들은 컨실러와 함께 사용을 하거나 다른 제품을 사용하는 것을 추천해요.

하지만 저처럼 피부결이 예뻐보이는 것을 중요하게 생각하고 피부에 딱히 가릴 게 없는 분들은 어뮤즈 듀젤리 쿠션 정~~말 추천합니다. 

그리고 저는 보통 13, 17호 정도를 사용하는 피부톤이라 보통 21호 제품을 바르면 너무 자연스러운 느낌이 들 때가 있었어요. 화사한 피부 표현을 하고 싶을 때 그런 점들이 아쉬웠는데  듀젤리 쿠션 1호는 제가 쓰기에도 적당히 화사하고 너무 예쁜 색상이더라구요. 평소 피부 색이 밝아서 쿠션 색상 고를 때 힘드셨던 분들에게도 이 제품 너무 추천합니다.

저는 정말 대만족한 제품이에요…어뮤즈 틴트도 평소에 정말 잘 쓰고 좋아했는데 이제 쿠션도 어뮤즈로 정착할 것 같습니다. 
아 마지막으로 케이스가 정말 예쁘긴한데 약간 내구성이 약한 것 같아서 떨어뜨리지 않게 조심해야할 것 같아요ㅋㅋ"
143,wlswn****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"쿠션팩트 하나를 샀는데 미니틴트, 마몽드 토너, 슬기 포토카드까지 증정품이 많으니까 좋아요 ㅎㅎ 저는 평소에 홍조때문에 뉴트럴 베이스를 쓰고 자연스러운 피부화장을 선호해서 23호를 쓰는데 이건 1.5호가 있어서 더 좋았어요! 자연스러운 톤업이라 제가 딱원하는 발색이였어요 깔끔하게 톤업되는 느낌이예요 바를때도 수분감이 있어서 촉촉하니까 좋았어요!"
144,hr****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"생긴것만큼이나 모찌모찌하고 촉촉하네요
원래도 악건성이라 이맘때쯤되먼 화장이고뭐고 ㅠㅠ 다 들뜨고 난리나요
근데 이건 기초층부터 탄탄하게잡아주규 난뒤에 톡톡해주어서 그런가 촉촉하게 잘 마무리돼요
화장을 진하게 하는 타입이 아니라 항상 수분감에 신경쓰는 편인데 저랑 잘 맞는 것 같아요
자연스럽게 제 피부처럼 보정됩니다
비건브랜드인 것도 마음에 들어욧"
145,cdg****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,지성에 좋아요,"쿠션케이스가 일단 예쁩니다 ㅋㅋ투명한..
나중에 리필교체도 하기편하고..
메쉬망쿠션은 처음접해보는데 말랑말랑하네요
그렇다고 헤프게 쭉쭉나오지는않아요.
젤리텍스쳐맞네요. 계속손으로꾹꾹누르고싶은..ㅋ
도포했을때 촉촉하면서 시원합니다.
바르고 조금지나서 마스크써봤는데 전혀묻어나오지않았어요..  묻어나올때까지 박박문질러보니 그제서야 조금묻어나오더라구요. 요즘시국에 딱맞는 가볍고 묻어나지않는 쿠션인듯"
146,kimyj****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"올리브영 랭킹 제품 다워요
다크하지 않고 너무 촉촉합니다.
바르면 물광 느낌나요 하루 종을 빛이나네요 
이거 바르고 피부 좋아 졌단 소리 들었어여 
제품 자체가 너무 촉촉해서 건조한 가을 겨울에
사용 하기에 최고 인거 같아요 흡수도 잘되고 
마스크에 묻어나지 않고 너무 좋아요 
직접가서 보고 사지 못해서 피부에 안맞으면 어쩌지 하고 
걱정했는데 어두운 제 피부에도 잘 맞아요 !
사용하고 또 재구매 할거 같아요"
147,dlstn63****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,바른곳과 안바른곳의 톤업 차이가 진짜 제대로에요 ㅎㅎ 건조함 없이 엄청 촉촉하게 발리는 젤리쿠션인데 피부에도 좋으누비건제품이라서 더 좋은거 같아요 ㅎㅎ 미니틴트도 증정품으로 와서 파우치에 요거 두개만 들고다녀도 기본메이크업이 가능해져서 좋네용 ㅎㅎ평소에도 21.23호 기분따라 쓰는 편인데 2.맑음은 데일리로 쓰기 딱 좋아요 ㅎㅎ 엄청  촉촉한 편이라 겨울에 보습을 위한 쿠션으로 추천해요!
148,bjs****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"지인에게 추천받아서 사용한제품이에요 평소에 쿠션을 잘 사용하지않는데, 
얼굴이 들뜨고 너무 부자연스러워 보여서 팩트만 쓰는데 기대안하고 썼는데 너무 좋네요. 
피부에 밀착 딱 되서 진짜 내피부처럼 투명하고 맑게 표현이 되네요. 
그리고 들뜬거 없이 색감도 1.5로 선택했는데 너무 잘 맞아요, 평소에 21호 쓰는데 완전 내피부 톤이라 깜작 놀랐네요,, 엄청 촉촉하면서 오래가서 너무너무 좋아요,, 다른거랑 정말 틀리네요"
149,sjdhks****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,지성에 좋아요,"친구가 하도 추천하길래 써봤는데 와 쓰자마자 너무 좋네요,, 요즘 비건비건 하는데 비건제품이라 그런가 처음 써봤는데 너무 촉촉하고 얼굴하고 완전히 밀착되서 너무 자연스럽고 커버도 잘되고 진짜 간편하네요, 당김이런것도 없고 시간이 지나도 지속력이 정말 좋아서 너무 잘 쓰고 있어요,, 케이스도 너무 멋스럽고 진짜 맘에 드네요,, 팩트가 이렇게 맘에 들 정도로는 없었는데 이거진짜 너무 사랑스럽네요"
150,gol****,,5,2021.10.29,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"밤쿠션 써보고 좋아서 젤리비건쿠션 오자마자 사용해봤는데 역시 마음에 들어요👍 *비건* 화장품인 점도 매우 만족.
여러번 덧발라도 얇은 느낌이고 색감이 자연스럽게 반짝거려요 순루 컬러 너무 밝진 않을까 걱정됐는데 제 피부에 자연스럽게 발립니다.
수부지 피부인데다 요즘 날씨가 건조해져서 매트한 쿠션보다는 촉촉한  쿠션을 선호해요.
다만 마스크에 잘 묻어나올까봐 걱정했는데 마스크에도 별로 안 묻어나와서 대만족입니다!"
